"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2.405684750E0;-7.755027711E-2;-2.920554951E-3;-1.451519132E0;1.453592228E0
2.415672750E0;-7.001698762E-2;-3.839384299E-3;-1.396168947E0;1.397928771E0
2.425660750E0;-6.742785871E-2;-4.949656315E-3;-1.336547732E0;1.338256648E0
2.435648750E0;-6.561990082E-2;-3.418520093E-3;-1.280258417E0;1.281943553E0
2.445637750E0;-5.705543980E-2;-9.638844058E-4;-1.218825579E0;1.220160663E0
2.455625750E0;-5.130008236E-2;-4.159754142E-3;-1.154865384E0;1.156011703E0
2.465613750E0;-4.370554537E-2;-1.177280210E-3;-1.084965467E0;1.085846042E0
2.475601750E0;-4.295975715E-2;-2.794328146E-3;-1.016961336E0;1.017872147E0
2.485590750E0;-3.967235237E-2;-3.311247565E-3;-9.473577142E-1;9.481938085E-1
2.495578750E0;-3.135785088E-2;-1.729422249E-3;-8.773760796E-1;8.779379766E-1
2.505566750E0;-2.730318718E-2;5.073668435E-4;-8.020157814E-1;8.024805512E-1
2.515554750E0;-2.293129638E-2;-3.699940629E-3;-7.257380486E-1;7.261096674E-1
2.525542750E0;-1.708512381E-2;-2.854120918E-3;-6.481319070E-1;6.483633367E-1
2.535531750E0;-1.801477186E-2;1.790588722E-4;-5.727747083E-1;5.730579643E-1
2.545519750E0;-1.576466672E-2;-3.092900850E-3;-4.907078147E-1;4.909707223E-1
2.555507750E0;-1.261708140E-2;-7.226103917E-4;-4.116823375E-1;4.118762678E-1
2.565495750E0;-1.114541851E-2;-8.578989655E-4;-3.291938603E-1;3.293835970E-1
2.575484750E0;-9.812502190E-3;-1.277364790E-4;-2.489612103E-1;2.491545419E-1
2.585472750E0;-9.831942618E-3;-2.313340083E-4;-1.659536809E-1;1.662448339E-1
2.595460750E0;-8.696860634E-3;3.175564110E-3;-8.377023786E-2;8.428032003E-2
2.605448750E0;-4.420622718E-3;-8.948110044E-4;-2.997092903E-3;5.415270798E-3
2.615437750E0;-1.945784781E-3;-4.548495635E-4;7.961146533E-2;7.963653922E-2
2.625425750E0;1.606073231E-3;-1.625841483E-3;1.679871380E-1;1.680026826E-1
2.635413750E0;2.413050272E-3;-9.528286755E-4;2.454290837E-1;2.454427954E-1
2.645401750E0;7.547358982E-3;9.215036407E-4;3.256546855E-1;3.257434358E-1
2.655389750E0;1.199765783E-2;1.520465128E-3;4.057593048E-1;4.059394893E-1
2.665378750E0;1.654500514E-2;-1.370869577E-4;4.896318614E-1;4.899113346E-1
2.675366750E0;1.870909333E-2;1.814591698E-3;5.679898262E-1;5.683007704E-1
2.685354750E0;2.702987380E-2;1.944819465E-3;6.453604698E-1;6.459292008E-1
2.695342750E0;3.004244156E-2;2.291829325E-3;7.212435603E-1;7.218726162E-1
2.705331750E0;3.479379043E-2;-3.178569488E-3;7.989279628E-1;7.996915661E-1
2.715319750E0;4.037060589E-2;3.278888762E-3;8.730744123E-1;8.740134246E-1
2.725307750E0;4.657337442E-2;4.256800748E-3;9.460064173E-1;9.471617291E-1
2.735295750E0;4.856807739E-2;1.372521743E-3;1.013409376E0;1.014573460E0
2.745284750E0;5.051005632E-2;8.465470746E-4;1.082114100E0;1.083292624E0
2.755272750E0;5.709760264E-2;-8.223727345E-4;1.149219275E0;1.150637108E0
2.765260750E0;6.201512739E-2;3.437619656E-3;1.211735129E0;1.213325891E0
2.775248750E0;6.028796360E-2;1.885165460E-3;1.274117351E0;1.275544282E0
2.785236750E0;6.261023879E-2;3.776541911E-3;1.336410284E0;1.337881442E0
2.795225750E0;6.629946083E-2;3.151124343E-3;1.391319752E0;1.392902078E0
2.805213750E0;6.768643111E-2;3.009976819E-3;1.446787477E0;1.448373058E0
2.815201750E0;6.383929402E-2;4.317353480E-3;1.498845696E0;1.500210824E0
2.825189750E0;6.794242561E-2;1.027284190E-3;1.542064309E0;1.543560676E0
2.835178750E0;6.980205327E-2;4.009309225E-3;1.590274692E0;1.591810917E0
2.845166750E0;6.972135603E-2;4.999206401E-3;1.632410169E0;1.633906062E0
2.855154750E0;7.205136120E-2;4.880782217E-4;1.671790838E0;1.673342835E0
2.865142750E0;7.164975256E-2;1.575180329E-3;1.705149055E0;1.706654466E0
2.875131750E0;7.148143649E-2;4.428681917E-3;1.736698031E0;1.738174117E0
2.885119750E0;7.607086748E-2;4.112564959E-3;1.764935851E0;1.766579251E0
2.895107750E0;7.690331340E-2;3.509252332E-3;1.787974119E0;1.789630656E0
2.905095750E0;7.392723113E-2;4.829381593E-3;1.808835745E0;1.810352261E0
2.915083750E0;7.634959370E-2;2.302962355E-3;1.827205181E0;1.828801066E0
2.925072750E0;8.091877401E-2;-1.785523258E-3;1.838140607E0;1.839921718E0
2.935060750E0;8.334049582E-2;5.341649987E-3;1.850021839E0;1.851905769E0
2.945048750E0;8.327684551E-2;7.119842805E-3;1.856143117E0;1.858023949E0
2.955036750E0;8.339343965E-2;1.774469391E-3;1.858858109E0;1.860728643E0
2.965025750E0;8.646539599E-2;-2.517214976E-3;1.854305506E0;1.856322038E0
2.975013750E0;8.613462746E-2;3.492474556E-3;1.851547480E0;1.853553193E0
2.985001750E0;8.458600193E-2;5.768944509E-3;1.839974999E0;1.841927271E0
2.994989750E0;8.323173970E-2;1.494996250E-3;1.826026678E0;1.827923189E0
3.004978750E0;8.415585756E-2;2.155992202E-3;1.806405306E0;1.808365833E0
3.014966750E0;8.341746777E-2;3.438707441E-3;1.790358543E0;1.792304107E0
3.024954750E0;8.099026233E-2;3.373460844E-3;1.764529347E0;1.766390280E0
3.034942750E0;8.007563651E-2;3.263447434E-3;1.739442825E0;1.741288058E0
3.044930750E0;7.558315247E-2;2.839205787E-3;1.707512498E0;1.709186884E0
